x_,y_,t_,id
419956.2103466207,4272446.217734999,2014-11-08T07:01:49Z,F64
402393.28912004136,4261903.326796076,2014-11-08T07:02:51Z,C028
420422.8815155187,4272247.2277291035,2014-11-08T11:01:18Z,F64
405193.90993010905,4258962.328328593,2014-11-08T15:00:57Z,C028
420815.75408571336,4272264.813548847,2014-11-08T15:01:14Z,F64
405700.3162536562,4257774.666139216,2014-11-08T23:00:32Z,C028
420811.3956008949,4272279.383642052,2014-11-08T23:01:18Z,F64
409772.6864335039,4256840.607842282,2014-11-09T07:00:28Z,C028
418255.3283840764,4269382.671654251,2014-11-09T07:00:55Z,F64
417972.5242088412,4268444.505951043,2014-11-09T11:00:55Z,F64
418203.83892741834,4269599.449000188,2014-11-09T15:01:48Z,F64
404723.0682242807,4261406.0741730295,2014-11-09T15:01:59Z,C028
418209.7467410387,4269592.707766358,2014-11-09T19:01:02Z,F64
406568.9985494488,4261429.242789118,2014-11-09T23:00:56Z,C028
419141.9364260847,4270743.907460958,2014-11-09T23:01:18Z,F64
419844.7508830845,4271540.71307636,2014-11-10T03:00:59Z,F64
409243.39153448277,4261111.217303611,2014-11-10T07:01:00Z,C028
420029.7241415031,4271879.9624261595,2014-11-10T07:01:06Z,F64
420144.93342392234,4272318.31594403,2014-11-10T11:01:30Z,F64
419869.56354214076,4272577.584189245,2014-11-10T15:01:14Z,F64
408180.2958334376,4261515.612179954,2014-11-10T15:03:02Z,C028
420111.4151510651,4272706.673021155,2014-11-10T19:02:23Z,F64
407005.39292123384,4261613.04155511,2014-11-10T23:01:02Z,C028
421167.50880949304,4272951.306773877,2014-11-10T23:01:18Z,F64
421370.2137541408,4272041.949976331,2014-11-11T03:01:58Z,F64
421152.97279415064,4271103.745989615,2014-11-11T07:01:00Z,F64
406898.02902397624,4262478.794369491,2014-11-11T07:02:27Z,C028
420641.59202852484,4270672.872459933,2014-11-11T11:01:56Z,F64
419731.1654744876,4269927.717615771,2014-11-11T15:01:02Z,F64
419576.7833632275,4269883.766652064,2014-11-11T19:01:23Z,F64
419409.76076477184,4269724.984354188,2014-11-11T23:01:21Z,F64
407179.1384960844,4262433.653065324,2014-11-11T23:01:59Z,C028
403915.45583245606,4259988.574408484,2014-11-12T07:03:00Z,C028
419439.3697448357,4269719.41486629,2014-11-12T11:00:59Z,F64
419425.43792545976,4269741.817170136,2014-11-12T15:00:59Z,F64
406018.9948262963,4260231.231295399,2014-11-12T15:02:46Z,C028
406429.2449612299,4259247.079415007,2014-11-12T23:01:18Z,C028
419422.6970668211,4269723.9884928195,2014-11-12T23:01:21Z,F64
419436.76539876475,4269729.861858785,2014-11-13T03:00:55Z,F64
419435.65794319415,4269725.433908436,2014-11-13T07:00:59Z,F64
407545.5015254231,4261674.521524928,2014-11-13T07:01:00Z,C028
419433.1632724359,4269730.330927117,2014-11-13T11:01:02Z,F64
419411.9252387311,4269738.346440293,2014-11-13T15:01:11Z,F64
404351.4806942121,4259467.948051507,2014-11-13T15:01:37Z,C028
419414.3377368921,4269711.443417061,2014-11-13T19:02:19Z,F64
419414.4590549922,4269720.897472771,2014-11-13T23:02:11Z,F64
406472.8197607368,4261107.053302545,2014-11-13T23:02:59Z,C028
419451.17801256577,4269748.305526326,2014-11-14T03:01:20Z,F64
419453.3143151041,4269732.036933891,2014-11-14T07:01:06Z,F64
406532.2527497268,4260985.003407465,2014-11-14T07:02:19Z,C028
419452.1965773798,4269738.706826989,2014-11-14T11:00:59Z,F64
419414.7673462804,4269735.077284881,2014-11-14T15:01:18Z,F64
419411.13399051724,4269715.137927574,2014-11-14T19:01:18Z,F64
406281.0641435528,4260137.97385495,2014-11-14T23:01:05Z,C028
419411.2470987181,4269707.335075366,2014-11-14T23:01:42Z,F64
419459.9098827754,4269735.544038373,2014-11-15T03:01:17Z,F64
419465.86469686957,4269745.505382968,2014-11-15T07:01:00Z,F64
406655.79513301066,4258473.20674655,2014-11-15T07:01:30Z,C028
419452.5453670331,4269737.005362534,2014-11-15T11:00:58Z,F64
419404.9859769919,4269729.26067041,2014-11-15T15:01:20Z,F64
407751.1593111666,4261178.036610533,2014-11-15T15:02:20Z,C028
419417.73856905056,4269734.248334214,2014-11-15T19:01:07Z,F64
407493.3171046196,4261864.833154783,2014-11-15T23:00:50Z,C028
419416.94490680256,4269720.317558941,2014-11-15T23:00:53Z,F64
407393.54675098177,4261834.665155093,2014-11-16T07:01:02Z,C028
419382.36924560333,4269828.746664821,2014-11-16T07:01:36Z,F64
419362.0185196659,4269805.468834353,2014-11-16T11:02:29Z,F64
419418.68364681094,4269738.988653893,2014-11-16T15:01:02Z,F64
407474.7441359701,4261877.976525446,2014-11-16T15:01:30Z,C028
419415.39163954125,4269729.588714431,2014-11-16T19:01:48Z,F64
410390.8673741179,4257903.970549872,2014-11-16T23:00:53Z,C028
419414.1115070203,4269724.452249651,2014-11-16T23:02:06Z,F64
409319.38565472653,4257581.755690057,2014-11-17T07:01:02Z,C028
409759.534367147,4257851.518222246,2014-11-17T15:01:00Z,C028
418193.4928165812,4269403.778733027,2014-11-17T15:01:42Z,F64
419372.929502446,4269811.86219699,2014-11-17T19:01:20Z,F64
407493.48389423214,4261866.440451282,2014-11-17T23:01:02Z,C028
419412.0936068575,4269723.917678667,2014-11-17T23:01:20Z,F64
419362.2259277012,4269839.891955449,2014-11-18T03:01:20Z,F64
406822.1041563696,4261563.7389911255,2014-11-18T07:01:02Z,C028
419366.63659371296,4269840.9905884145,2014-11-18T11:01:22Z,F64
419238.6507847703,4270738.236374572,2014-11-18T15:01:36Z,F64
403248.7215159029,4261201.625079367,2014-11-18T15:02:43Z,C028
419307.86092406313,4271211.60152635,2014-11-18T19:01:22Z,F64
402783.92179042613,4262258.202006622,2014-11-18T23:01:00Z,C028
419305.63979970216,4271190.882191147,2014-11-18T23:01:08Z,F64
402945.8395804898,4262035.663928184,2014-11-19T07:01:56Z,C028
403991.4691756865,4259708.168749054,2014-11-19T15:01:00Z,C028
419111.5252377675,4271905.131619319,2014-11-19T15:01:21Z,F64
407308.8570403812,4257045.778263828,2014-11-19T23:00:59Z,C028
419316.1534699397,4273735.711332011,2014-11-19T23:01:53Z,F64
418439.1721762656,4273875.23261906,2014-11-20T03:01:13Z,F64
406817.35450262413,4257412.291279919,2014-11-20T07:01:00Z,C028
419050.49973205617,4274059.523812984,2014-11-20T15:00:59Z,F64
410443.21596170083,4258064.095250414,2014-11-20T15:01:00Z,C028
419266.6542148845,4273902.589607555,2014-11-20T19:01:02Z,F64
419780.27589132445,4273294.375366165,2014-11-20T23:00:58Z,F64
407090.75325393095,4261488.209475862,2014-11-20T23:02:01Z,C028
419964.8405154426,4273214.441623442,2014-11-21T03:01:20Z,F64
403396.3197945588,4261723.506083765,2014-11-21T07:01:20Z,C028
404491.93668221874,4260969.044946679,2014-11-21T15:00:54Z,C028
420064.23021692655,4272650.046518444,2014-11-21T15:00:59Z,F64
403722.83302285656,4263422.106827859,2014-11-21T23:03:03Z,C028
404306.5007960004,4260708.68164992,2014-11-22T07:01:29Z,C028
404962.4916187557,4260610.405617905,2014-11-22T15:01:00Z,C028
418379.0344760207,4269811.170852512,2014-11-22T15:01:19Z,F64
418174.7038032716,4268770.776010387,2014-11-22T19:01:23Z,F64
409911.5857087861,4256816.2991769025,2014-11-22T23:00:50Z,C028
418171.2833803044,4267225.758916592,2014-11-22T23:02:03Z,F64
